code,name
782721,ОСТ. ПУНКТ 204 КМ
771816,ОСТ. ПУНКТ 42 КМ
797205,Островной
3704,Оулу
777808,Оус
792704,Ощепково
764600,Пальники
798804,Пангоды (до Сывдармы (стр))
798630,Парка (рзд)
765073,Парма
765105,Парма
783118,Пастушный
776330,Пасынок
767007,Пашия
777901,Пелым
781701,Первоуральск
794907,Перебор
780016,ПЕРЕГОН (ОБП)
772109,Перегрузочная
782628,Перескачка
761000,Пермь I
761104,Пермь II
761208,Пермь II (перев.)
761301,Пермь II (эксп.)
760008,Пермь-Сортировочная
777600,Першино
773972,Платина
4707,ПЛАТФ.И
781803,Подволошная
775516,Подсобный
797765,Покачевский (рзд)
775713,Покровск-Уральский
781305,Полевской
768008,Половинка-Чусовская
777507,Полуночное
787301,Предтурье
779409,Приобье
779502,Приобье (перев.)
762342,ПУЗЯТА
798908,Пуровск
798700,Пурпе
780622,ПУТЕВКА (РЗД)
797002,Пыть-Ях
793118,Пышминская
786609,Разъезд 132 км
778105,Разъезд 135 км
784638,Разъезд 228 км
795420,Разъезд №  1
768531,Расик
783705,Рассоленко (рзд)
781409,Ревда
785700,Реж
793637,Режик
784712,Рефт
780044,Решеты
783315,Сабик
771604,Салка
796705,Салым
776805,Сама
786309,Самоцвет
770052,Сан-Донато
788234,Сарагулка
783207,Сарга
780105,Северка
777403,Северный Урал
780923,Седельниково
799703,Селькупская (до Сывдармы (стр))
766004,СЕЛЯНКА
766038,Селянка
779305,Сергино
774405,Серов
774602,Серов-Заводской
774706,Серов-Сортировочный
795904,Сетово
762709,Симонята
786703,Синячиха
767121,Скальный
767204,СКАЛЬНЫЙ
770005,Смычка
778730,Соболиная
769604,Соликамск
769515,Соликамск II
769500,СОЛИКАМСК2
776400,Сосьва
787439,Сосьва Новая
776108,Сотрино
770508,Старатель
785607,Стриганово
796000,Сузгун
762802,Сукманы
797303,Сургут
797500,Сургут-Порт
798109,Сургут-Порт (перев.)
797337,СУРМЯТИН (РЗД)
799008,Сывдарма
798607,Сывдарма (стр)
765501,Сылва
781108,Сысерть
799606,Табсавэй (до Сывдармы (стр))
788268,Таваложка
771337,Таватуй (обп)
788501,Тавда
792600,Талица
787602,Талый Ключ
766502,Теплая Гора
796103,Тобольск
796207,Тобольск-Порт
796300,Тобольск-Порт (перев.)
799807,Тосовэй (до Сывдармы (стр))
792308,Тугулым
764013,Тулумбасы
795609,Туринский
788107,Туринск-Уральский
790003,Тюмень
795401,Уаз
774730,Углежжение
768207,Углеуральская
780707,Уктус
797708,Ульт-Ягун
783616,Унь (рзд)
776716,Уралзолото
765800,Уралнефть
787443,Усть-Березовка
788906,Устье-Аха
795806,Усть-Тавда
